x Curve1
2.81971 36.3777
7.78144 37.5568
20.6989 40.0098
40.7694 42.6693
70.8586 44.2551
76.5285 43.9124
80.9708 42.813
85.0978 41.0753
88.5679 39.0115
91.7155 36.5735
93.8558 34.4381
95.4997 32.1901
96.7599 28.7748
x Curve2
2.78308 37.6976
12.9547 40.112
24.0446 42.4337
40.3692 45.0932
56.8603 47.7551
76.1775 50.5624
81.3247 51.0574
86.9114 50.7135
92.3463 49.8394
96.6309 48.4209
100.421 46.8369
104.562 44.5713
107.871 42.3468
110.85 39.9592
113.338 37.3005
115.928 33.9567
117.575 31.6032
119.15 28.8261
120.301 26.3599
121.051 23.3071
x Curve3
2.83699 38.7547
6.80609 39.7085
16.7281 42.1194
28.4778 44.6617
41.3003 47.5359
52.307 49.8564
65.9616 52.7424
81.8061 54.7085
97.3587 55.1917
105.21 54.2459
109.906 52.9916
114.875 50.8961
118.85 48.6282
121.906 46.5057
125.065 43.6453
127.722 40.8834
130.312 37.5396
132.319 34.2404
133.824 30.987
134.993 27.8344
135.659 24.8332
135.698 20.45
x Curve4
2.79891 40.1274
8.66421 41.7417
17.8315 44.3533
26.5127 46.4826
36.0157 48.9932
45.8545 51.4029
54.7751 53.9053
64.9394 56.5837
78.1868 59.147
99.6223 60.6109
109.035 60.3737
116.568 58.8953
122.698 56.9746
128.264 54.3594
133.088 51.5224
137.937 47.735
141.285 44.085
144.399 39.8507
146.588 35.9731
148.025 32.1905
149.135 28.192
149.988 21.4435
149.993 24.2429
