% x Curve1
-2.7051 20.6454
-1.70169 22.2728
-1.22739 23.6449
-1.07332 24.5161
-0.819603 25.4196
-0.15797 27.446
0.100662 27.5115
1.67371 28.3705
3.05937 28.8856
% x Curve2
-2.70313 22.663
-1.71405 24.7559
-1.23267 26.3763
-1.07388 27.3407
-0.824962 28.5235
-0.139741 31.2641
0.116529 31.2675
1.68474 32.6231
3.07023 33.9763
% x Curve3
-2.70402 39.1762
-1.33044 40.8086
-0.115708 41.7249
0.688494 42.7599
1.42866 43.6388
2.90207 44.4034
% x Curve4
-2.69551 44.1427
-1.30548 46.5513
-0.107506 48.2433
0.694139 50.2095
1.46033 51.4923
2.94548 52.8778
% x Curve5
-2.68857 45.074
-1.69905 44.9009
-1.0703 45.2197
0.0449475 45.2655
0.927614 45.4946
1.46361 46.8674
2.99407 47.1361
% x Curve6
-2.69455 51.3129
-1.69332 51.947
-1.0598 52.1107
0.057638 53.0878
0.904558 54.0923
1.45981 54.0997
2.99943 56.0136
