x Curve1
0.00126978 2.09131
0.00326968 292.885
0.00458707 313.805
0.00464703 337.515
0.00974378 352.853
0.0148053 354.245
0.0173113 345.178
0.0261451 338.2
0.0324851 345.169
0.0337779 356.326
0.041393 367.479
0.0476907 357.713
0.054029 363.985
0.0629034 373.046
0.0742979 378.618
0.0844332 386.283
0.0958294 392.552
0.108501 403.005
0.117352 403
0.132537 407.175
0.147714 408.561
0.156557 405.069
0.167933 403.668
0.176792 406.452
0.186917 409.933
0.200826 409.925
0.212212 412.011
0.227391 414.094
0.243838 417.571
0.255222 418.959
0.267867 418.952
0.280515 420.339
0.293167 423.121
0.303281 422.418
0.315928 423.108
0.328578 425.193
0.33996 425.883
0.355137 427.269
0.36652 427.96
0.37917 430.045
0.389286 430.039
0.408255 430.725
0.418374 432.114
0.431019 432.107
0.443666 432.797
0.458834 430.696
0.472751 433.477
0.485395 433.47
0.494247 433.465
x Curve2
0.00253074 0.695879
0.00265948 51.6024
0.00901719 65.5457
0.0116026 87.8594
0.0141474 94.134
0.0142127 119.936
0.0180661 143.644
0.0206621 170.141
0.0257853 195.94
0.0271239 225.228
0.0297163 250.331
0.0297975 282.409
0.0336491 305.42
0.0387459 320.759
0.042564 330.519
0.0463786 338.885
0.0501862 344.462
0.0565033 342.366
0.0615401 333.995
0.0691112 327.714
0.0729099 329.804
0.0817737 334.681
0.0855848 341.652
0.0881332 349.321
0.0932176 359.778
0.0983037 370.933
0.100852 378.602
0.10467 388.363
0.107219 396.033
0.109767 403.702
0.116107 410.672
0.122454 420.431
0.130061 428.097
0.140196 435.762
0.156629 433.661
0.165475 431.564
0.178115 429.464
0.193292 430.85
0.202161 437.818
0.211026 443.392
0.216104 451.06
0.226239 458.725
0.233849 467.786
0.241454 474.755
0.250319 480.329
0.256657 486.601
0.266782 490.082
0.27436 486.591
0.283197 481.007
0.292044 478.91
0.300872 469.839
0.305905 460.073
0.30841 450.309
0.312175 439.149
0.317199 425.897
0.319704 416.132
0.320943 406.369
0.324721 400.09
