x Curve1
0.470847 273.256
1.14134 289.583
1.89531 307.543
2.56313 320.607
3.39388 332.043
4.14048 341.031
5.05336 352.468
6.0457 360.645
7.20031 366.378
8.1065 369.66
9.17696 372.944
10.4918 373.787
11.6411 372.994
12.8704 369.757
14.2627 364.891
15.653 357.579
16.9612 350.264
18.5966 341.325
20.067 331.567
21.7004 320.181
23.0045 307.973
24.5537 294.139
x Curve2
0.446728 243.892
1.0304 254.507
1.61339 264.307
2.27786 273.293
2.85751 279.014
3.68491 286.372
5.00245 290.477
6.23651 292.949
7.46856 292.974
8.69727 288.921
9.92597 284.868
11.6441 276.746
13.1994 270.253
14.2611 262.934
15.4057 256.432
16.386 249.926
17.4484 243.423
18.5916 235.289
19.654 228.786
20.5522 222.279
21.2874 217.4
21.6961 214.961
x Curve3
0.521496 234.921
1.43371 245.543
2.34459 254.534
3.17132 261.076
4.07817 265.173
5.23077 268.459
6.46282 268.484
7.85714 266.066
9.08651 262.828
10.3145 257.959
11.7069 253.094
13.0164 247.411
14.243 240.91
15.7155 233.599
17.2687 224.659
18.7405 216.532
19.8844 209.215
21.0283 201.897
x Curve4
0.6784 225.952
1.26006 234.12
2.00532 241.476
2.99632 248.022
4.06745 252.122
5.62939 253.785
7.10518 250.553
8.82402 243.247
10.2163 238.381
11.7716 231.888
13.3255 223.763
14.8807 217.269
16.5154 207.515
18.07 200.205
19.4603 192.893
20.4406 186.387
x Curve5
0.636862 175.38
2.03721 180.303
3.59781 180.334
5.24122 181.184
7.04689 179.589
9.09763 176.368
11.2305 173.149
13.3614 167.483
15.6559 161.004
17.7874 156.154
19.7527 148.853
21.8822 141.556
24.0938 134.26
26.5499 124.522
29.0868 113.154
30.7248 107.478
x Curve6
0.509704 320.565
1.01525 336.073
1.5188 349.134
2.10715 365.459
2.6935 379.337
3.44412 393.219
4.03181 408.728
4.86256 420.164
5.5297 432.413
6.52472 443.852
7.67933 449.586
9.07901 453.692
10.3117 454.533
11.9484 447.226
13.1704 435.016
14.7176 418.734
16.2595 395.927
17.4768 378.007
18.5292 359.269
19.3398 346.234
20.2299 329.939
x Curve7
0.553654 274.073
0.973718 285.501
1.63952 296.118
2.55375 309.187
3.54877 320.627
4.46098 331.249
5.61894 341.061
7.01929 345.983
8.33415 346.826
9.64633 344.406
11.2029 339.543
12.676 333.048
13.8206 326.546
14.9638 318.413
16.1885 309.466
17.4132 300.518
18.7173 288.31
20.1036 276.103
21.0798 264.704
22.2204 253.308
23.4404 238.651
x Curve8
0.542264 260.207
1.78705 275.73
2.78341 288.801
4.18778 298.617
5.50733 305.169
6.90365 305.198
8.5417 299.522
10.1784 292.214
11.9781 283.279
13.6134 274.34
15.166 264.583
16.6357 254.01
18.024 244.25
19.3308 235.304
20.3098 227.168
21.4523 218.219
22.4313 210.082
23.3288 202.76
24.2262 195.437
x Curve9
0.530205 245.525
1.44041 253.7
2.26848 261.873
3.17801 269.233
4.16969 276.594
5.40643 282.329
6.72129 283.171
8.36336 282.389
10.0014 276.713
11.4745 270.218
12.784 264.535
14.4201 256.412
15.5646 249.91
16.9542 241.781
18.6691 229.581
19.9766 221.451
21.3648 211.692
22.5074 202.743
23.6506 194.61
24.6309 188.104
x Curve10
0.604302 235.738
1.51317 242.282
2.42136 248.01
3.41103 252.924
4.81137 257.847
6.28984 257.877
7.93057 255.464
9.40769 253.862
11.0451 247.37
12.2724 241.686
13.6641 236.005
15.4637 227.069
17.3455 218.135
18.7331 207.56
20.3678 197.805
22.0018 187.235
23.4723 177.477
24.8605 167.717
