x Curve1
-0.000117832 0.00606925
0.00512902 1.76838
0.00776154 2.38671
0.00876105 2.57045
0.0102303 2.73603
0.0120531 2.88339
0.0141084 3.03085
0.0168613 3.17856
0.0192764 3.28335
0.0218045 3.40042
0.0251497 3.50556
0.0280377 3.57996
0.0313891 3.66066
0.0356723 3.73558
0.0400733 3.80443
0.0450603 3.85516
0.0488878 3.89324
0.0528346 3.91913
0.0573644 3.93913
0.0610803 3.95883
0.0649171 3.96024
0.0689865 3.96173
0.0731722 3.96327
0.0786399 3.95305
0.0843417 3.9368
0.0886468 3.92615
0.0928403 3.89713
0.0964493 3.88012
0.0993607 3.86285
x Curve2
0.000345677 0.0123517
0.00415296 1.49297
0.00527343 1.65841
0.00628857 1.78103
0.00764939 1.91601
0.00901334 2.03876
0.0107245 2.16775
0.0125614 2.26011
0.0150833 2.40162
0.0179619 2.5127
0.0203863 2.58083
0.0228076 2.66118
0.0260444 2.73571
0.0299818 2.79828
0.0335721 2.85461
0.0369329 2.89863
0.0407619 2.9306
0.0459862 2.96308
0.0506291 2.99534
0.0549263 3.01525
0.0586469 3.01662
0.0627163 3.01811
0.0673686 3.0137
0.0723728 2.9972
0.0767957 2.98049
0.080986 2.96369
0.0862259 2.93505
0.0912348 2.90021
0.0951958 2.8711
0.0993939 2.82374
x Curve3
0.000116268 4.26411e-05
0.000427548 0.146856
0.00202872 0.251355
0.00397401 0.374318
0.00546205 0.466551
0.00741515 0.558954
0.0097155 0.657597
0.0121337 0.750171
0.0142093 0.81817
0.0172135 0.892621
0.0209122 0.979552
0.0240389 1.0296
0.0278617 1.08601
0.0308722 1.13602
0.0343508 1.17397
0.0387581 1.21837
0.0432863 1.24448
0.0478145 1.27059
0.0518792 1.29042
0.0567578 1.31055
0.0609419 1.31819
0.0651275 1.31973
0.0700108 1.32152
0.0745452 1.32318
0.0787309 1.32472
0.0836126 1.33262
0.0877982 1.33416
0.0919886 1.31736
0.0953604 1.31859
0.0993166 1.30782
