x Curve1
2.97772 27.0491
34.9963 29.8318
83.634 31.5981
92.5056 31.6236
98.8865 31.192
105.96 30.2453
113.568 28.5709
120.201 26.2516
124.654 24.0054
127.95 21.4269
130.409 18.8361
x Curve2
2.91678 28.4142
23.0383 31.4422
48.3696 34.0215
88.7907 36.0873
102.849 36.189
114.607 35.3112
126.082 33.2734
134.545 31.1912
140.183 28.6472
145.859 25.2631
148.983 22.7871
151.145 19.3513
x Curve3
2.71666 29.1468
12.1591 31.3873
30.1197 34.0683
50.2412 37.0964
99.3433 39.7101
118.592 39.7831
130.197 38.5878
141.179 36.3326
150.196 33.1027
157.908 29.1181
164.997 24.0735
170.919 18.9067
175.857 13.3051
x Curve4
2.82771 30.4094
14.4122 33.4169
58.4422 40.8948
103.687 43.6619
115.063 43.8293
124.442 43.7571
133.685 42.9474
142.79 41.5051
152.127 38.5952
158.454 35.641
165.5 31.5415
170.879 27.3124
175.593 22.9684
180.335 17.9944
184.13 11.7455
