x Curve1
0 -1.42109e-14
0.00339779 34.0356
0.00504476 36.1393
0.00676679 37.7817
0.00943268 39.3216
0.0127119 40.4076
0.016735 41.2726
0.020293 41.7844
0.0237857 42.1797
0.0274821 42.4622
0.0307769 42.6235
0.0346098 42.7923
0.0377719 42.8361
0.0412724 42.7691
0.045509 42.9435
x Curve2
-1.94448e-06 0.11558
0.00426503 42.4869
0.00631373 44.7119
0.00891039 46.3664
0.0116494 47.5605
0.0149324 48.4152
0.0182213 48.9233
0.022185 49.3251
0.0260833 49.6104
0.0301181 49.782
0.0337492 49.948
0.0381243 49.8931
0.0422975 49.8353
0.0451925 49.7599
x Curve3
6.7279e-05 0.000933351
0.00449525 44.8022
0.006073 47.0207
0.00813921 48.2054
0.0105496 48.9325
0.0130945 49.6614
0.0161835 50.0511
0.019878 50.4492
0.0237071 50.8491
0.028011 51.0244
0.0319785 51.1951
0.0362825 51.3704
0.0407921 51.3173
0.0450326 51.2606
x Curve4
0.000136503 -0.113713
0.0024061 12.9814
0.00372446 14.6181
0.00532166 15.6808
0.00893722 16.7714
0.0124952 17.2832
0.0149114 17.6635
0.0177352 17.8183
0.0202879 18.0849
0.0228426 18.236
0.0251935 18.4998
0.0279539 18.4225
0.0309141 18.4635
0.0331343 18.4943
0.0354891 18.527
0.0383802 18.6827
0.0406004 18.7135
0.0432243 18.7499
0.0454445 18.7807
x Curve5
6.53346e-05 0.116513
0.00369101 28.6061
0.00445947 30.9289
0.00558377 32.1006
0.00771142 33.633
0.0101179 34.5912
0.0132011 35.3276
0.0160171 35.9447
0.019306 36.4528
0.0222604 36.8406
0.0248824 36.9926
0.0271698 37.0243
0.0299936 37.1791
0.0325483 37.3301
0.0355778 37.2566
0.038267 37.4095
0.0412292 37.335
0.0436532 37.253
0.0457389 37.2819
x Curve6
0.000138447 -0.229293
0.0045952 34.8614
0.00554605 38.3428
0.00691808 40.7896
0.00864011 42.432
0.0110408 43.737
0.0135857 44.4659
0.0166055 44.9702
0.0190197 45.4662
0.0211688 45.7272
0.0233851 45.9892
0.0258072 46.0228
0.0284271 46.2903
0.0309838 46.3258
0.0332059 46.241
0.0355587 46.3893
0.0381826 46.4257
0.0402029 46.3381
0.0425596 46.2552
0.0447798 46.286
x Curve7
6.7279e-05 0.000933351
0.000699235 2.43745
0.00276544 3.62218
0.00464342 3.99505
0.00658868 4.36886
0.00934323 4.63829
0.0111578 4.77907
0.0134453 4.8108
0.0160672 4.96278
0.0191621 5.00572
0.021315 5.03558
0.0237371 5.06918
0.0256209 5.09532
0.0278411 5.12612
0.0299267 5.15505
0.0312723 5.17372
0.0330869 5.3145
0.034567 5.33503
0.0364547 5.13001
0.0392112 5.28386
0.0407567 5.4209
0.0424406 5.32866
0.0462083 5.38092
x Curve8
0.000134558 0.0018667
0.00449525 24.8022
0.00514665 26.083
0.00620756 27.0225
0.00800854 27.9724
0.00981924 28.3443
0.0129044 28.9651
0.0155282 29.0015
0.0192266 29.1685
0.022183 29.4407
0.0252125 29.3671
0.02844 29.5275
0.0317367 29.5732
0.0350353 29.5034
0.0382666 29.4326
0.041496 29.4774
0.04486 29.5241
0.0465439 29.4318
x Curve9
3.88896e-06 -0.23116
0.00510776 28.3946
0.00648562 30.4946
0.00774837 31.437
0.0094879 32.0391
0.0120367 32.5369
0.0143876 32.8008
0.0173459 32.9574
0.0201024 33.1112
0.0232665 33.0395
0.0258884 33.1915
0.0290505 33.2354
0.0320147 33.0453
0.0348404 33.0845
0.0373951 33.2355
0.04029 33.1601
0.0432523 33.0856
0.0464144 33.1294
