x Curve1
0.00739683 330.145
0.0124082 341.08
0.0184081 350.03
0.0254013 358.486
0.0353763 365.953
0.046343 372.428
0.0573032 376.916
0.0732435 382.903
0.0876846 386.9
0.104114 390.404
0.120044 393.411
0.136968 395.922
0.155386 398.933
0.170814 400.448
0.186244 402.461
0.202171 404.474
0.218095 405.494
0.233522 407.009
0.249448 408.526
0.256415 409.034
x Curve2
0.00542983 337.095
0.00844458 346.04
0.0119535 353.993
0.0184525 363.441
0.0254408 370.406
0.03392 376.877
0.0443859 382.358
0.0618237 389.837
0.0737756 393.334
0.0837358 396.331
0.0936943 398.831
0.104646 400.836
0.114106 402.838
0.12456 404.842
0.136008 406.351
0.144968 407.856
0.156913 409.366
0.169358 411.373
0.177321 412.38
0.187774 413.887
0.199718 414.9
0.208676 415.908
0.220124 417.417
0.232565 418.431
0.240529 419.438
0.25098 420.449
x Curve3
0.0069718 351.998
0.0109832 361.442
0.0144823 366.415
0.0189814 372.879
0.0254705 379.347
0.0334505 385.32
0.0429197 390.303
0.0523841 393.795
0.0613509 397.287
0.0708119 399.786
0.0802746 402.782
0.0902315 404.785
0.100689 407.783
0.110644 409.289
0.120105 411.788
0.130057 412.301
0.139517 414.304
0.150467 415.812
0.159427 417.317
0.170378 418.825
0.179334 419.337
0.189787 420.844
0.199741 421.854
0.209694 422.864
0.219648 423.874
0.229602 424.883
0.239056 425.396
0.249509 426.903
x Curve4
0.00700146 360.939
0.012512 372.372
0.020011 383.311
0.0294868 390.281
0.0389577 395.76
0.0509162 401.243
0.0633706 406.231
0.076815 409.73
0.089762 413.228
0.103702 416.231
0.119133 418.74
0.136057 421.252
0.150991 423.76
0.163435 425.767
0.176374 426.782
0.190809 428.793
0.206237 430.308
0.220669 431.822
0.235101 432.84
0.247542 433.854
0.2565 434.862
