x Curve1
0.00074045 -1.63806
0.00339096 24.3351
0.00568182 56.8182
0.00721712 82.8095
0.00839277 115.311
0.0091846 141.314
0.010729 172.183
0.0119016 203.059
0.0141804 229.038
0.0160874 255.023
0.0183511 272.872
0.0206087 287.47
0.0239664 293.919
0.0262119 302.013
0.0284605 311.732
0.0318242 321.434
0.0340637 326.275
0.0374184 331.099
0.0415196 337.536
0.0470986 339.072
0.0511847 337.379
0.0556576 343.81
0.0605053 351.862
0.0634822 353.439
0.0675743 354.999
0.0720473 361.43
0.0768829 362.978
0.0828306 362.881
0.086554 366.072
0.0917795 377.369
0.0962494 382.175
0.10071 382.102
0.104802 383.662
0.10852 383.601
0.112981 383.529
0.117064 380.21
0.121515 375.26
0.124121 376.844
0.127478 383.293
0.130464 389.749
0.133444 392.952
0.136046 392.91
0.139758 389.597
0.143463 383.033
0.146434 381.359
0.149788 386.182
0.153884 389.368
0.157613 395.811
0.161349 405.507
0.165447 410.318
0.170282 411.865
0.173619 406.933
0.176952 400.375
0.179926 400.326
0.183275 401.898
0.186258 406.728
0.189235 408.305
0.192577 406.625
0.195914 401.692
0.198885 400.018
x Curve2
0.00112427 4.85977
0.00121494 53.6388
0.00235433 66.6284
0.00424927 86.1098
0.006522 108.837
0.00803917 125.073
0.00918158 139.688
0.010327 155.93
0.0110977 170.551
0.0122431 186.793
0.0130138 201.414
0.0145279 216.024
0.0152986 230.646
0.016438 243.635
0.0179551 259.871
0.019838 272.848
0.0224794 293.943
0.0236128 303.681
0.0262361 315.021
0.0292191 319.85
0.0314525 321.44
0.0333202 326.287
0.0363092 334.369
0.0389235 340.831
0.0415438 350.544
0.044161 358.632
0.047144 363.461
0.0504926 365.033
0.0538413 366.604
0.0575647 369.796
0.0609163 372.993
0.0642589 371.313
0.0668611 371.271
0.0705754 369.584
0.0739271 372.782
0.0776505 375.973
0.0813769 380.791
0.0854751 385.602
0.0888268 388.8
0.0921845 395.249
0.0951674 400.079
0.09851 398.398
0.101481 396.724
0.104827 396.669
0.107432 398.253
0.10968 407.973
0.112294 414.434
0.115277 419.264
0.119735 417.565
0.123078 415.885
0.126055 417.463
0.129775 419.028
0.132758 423.858
0.135729 422.183
0.139821 423.743
0.14391 423.676
0.14725 420.37
0.15097 421.935
0.153575 423.519
0.156927 426.717
0.160285 433.166
0.163636 436.364
0.166982 436.309
0.170328 436.255
0.172933 437.838
0.175541 441.048
0.177406 444.27
0.180017 449.105
0.18449 455.537
0.187092 455.494
0.190066 455.446
0.192299 457.036
0.194539 461.877
0.19715 466.713
x Curve3
0.00112125 3.2338
0.00338794 22.7091
0.00459079 69.8441
0.0046331 92.6076
0.00467239 113.745
0.0047147 136.509
0.00477515 169.028
0.00491719 45.4485
0.00520733 201.541
0.00564253 235.681
0.00681214 264.93
0.00909091 290.909
0.0117384 315.256
0.0151203 334.713
0.0196174 354.153
0.0248489 368.702
0.0308118 376.735
0.0367777 386.394
0.0431093 392.795
0.0505591 400.804
0.0572594 405.573
0.0632132 408.728
0.0691671 411.883
0.0754926 415.033
0.0814464 418.188
0.087772 421.337
0.0937228 422.866
0.0996766 426.022
0.104887 429.189
0.110463 429.098
0.116414 430.627
0.122368 433.783
0.129065 436.926
x Curve4
0.00074045 -1.63806
0.0012089 50.3868
0.00127539 86.1581
0.00131165 105.67
0.00245708 121.911
0.00359647 134.901
0.00510457 146.258
0.00551257 165.764
0.00666707 186.883
0.00783063 212.881
0.00861944 237.258
0.0101547 263.25
0.0116779 282.737
0.0139567 308.716
0.0162174 324.94
0.019968 342.765
0.0233408 357.344
0.0271035 381.673
0.030848 396.246
0.0349613 409.188
0.0401777 415.607
0.0450224 422.032
0.049864 426.831
0.0550804 433.251
0.0602877 434.792
0.066982 436.309
0.0729358 439.464
0.0800048 442.602
0.0870739 445.739
0.0941399 447.25
0.10084 452.019
0.107534 453.536
0.11609 456.649
0.124643 458.136
0.133199 461.249
0.139894 462.766
0.146588 464.283
0.149562 464.235
