Al Gust 194m/s 635K     24.51  85.93 959.97   1.78  11.59
Al Gust 200m/s 295K     28.94  97.26 1034.32   1.69  13.88
Al Gust 358m/s 295K     24.75  86.61 1012.78   1.86  11.14
Al Wilkins 275m/s 295K  38.67 150.64 1883.36   1.99  18.35
Al Wilkins 373m/s 295K  18.47  71.34 1024.90   2.29   7.44
Cu Gust 188m/s 718K     17.09  66.18 848.29   2.04   7.55
Cu Gust 211m/s 727K     16.80  68.94 987.08   2.28   6.95
Cu Gust 277m/s 295K     13.69  57.93 754.07   2.07   7.06
Cu Johnson 130m/s 295K  19.69  84.59 1148.00   2.16   9.50
Cu Johnson 146m/s 295K  18.95  82.79 1147.73   2.21   9.02
Cu Wilkins 210m/s 295K  16.56  71.61 1122.30   2.49   6.69
Cu Zerilli 190m/s 295K  16.79  77.29 1182.21   2.43   7.46
St Johnson 208m/s 295K  22.71  91.22 1173.69   2.05  10.71
St Johnson 282m/s 295K  10.95  43.39 558.69   2.05   5.08
St Johnson 343m/s 295K   7.08  28.35 399.23   2.24   2.98
